35.035// Avg:35.0175
36,3261691997991// Avg:35,6040663515127 /// Deviation: 1 // on 21:17:37
36.3624953689989// Avg:35.6063646212627
36.3988578643679// Avg:35.6087588606678
36.4352567222323// Avg:35.6112483120581
36.4716919789545// Avg:35.6138322269737
36.5081636709335// Avg:35.6165098660275
36.5446718346044// Avg:35.6192804987695
36.581216506439// Avg:35.6221434035542
36.6177977229455// Avg:35.62509786741
36.6544155206684// Avg:35.6281431859107
36.6910699361891// Avg:35.6312786630502
36.7277610061253// Avg:35.6345036111181
36.7644887671314// Avg:35.6378173505785
36.8012532558985// Avg:35.6412192099508
36.8380545091544// Avg:35.6447085256919
36.8748925636636// Avg:35.6482846420814
36.9117674562272// Avg:35.6519469111079
36.9486792236835// Avg:35.6556946923581
36.9856279029071// Avg:35.6595273529072
37.0226135308101// Avg:35.6634442672115
37.0596361443409// Avg:35.6674448170027
37.0966957804852// Avg:35.6715283911841
37.1337924762657// Avg:35.6756943857285
37.170926268742// Avg:35.679942203578
37.2080971950107// Avg:35.6842712545452
37.2453052922057// Avg:35.6886809552166
37.2825505974979// Avg:35.6931707288568
37.3198331480954// Avg:35.6977400053153
37.3571529812435// Avg:35.7023882209342
37.3945101342248// Avg:35.7071148184573
37.431904644359// Avg:35.7119192469418
37.4693365490033// Avg:35.7168009616697
37.5068058855523// Avg:35.7217594240627
37.5443126914379// Avg:35.7267941015969
37.5818570041293// Avg:35.7319044677196
37.6194388611335// Avg:35.7370900017674
37.6570582999946// Avg:35.7423501888859
37.6947153582946// Avg:35.7476845199498
37.7324100736529// Avg:35.7530924914858
34,1100987065822// Avg:35,7486278344616 /// Deviation: 8 // on 21:18:32
34.1442088052888// Avg:35.7442798154124
34.1783530140941// Avg:35.7400475808142
34.2125313671082// Avg:35.7359302864376
34.2467438984753// Avg:35.7319270972227
34.2809906423738// Avg:35.7280371871561
34.3152716330161// Avg:35.7242597391503
34.3495869046491// Avg:35.720593944925
34.3839364915538// Avg:35.7170390048894
34.4183204280453// Avg:35.7135941280278
34.4527387484734// Avg:35.7102585317856
34.4871914872219// Avg:35.7070314419582
34.5216786787091// Avg:35.7039120925813
34.5562003573878// Avg:35.7008997258222
34.5907565577452// Avg:35.6979935918744
34,2448489921677// Avg:35,694199480648 /// Deviation: 1 // on 21:19:16
34.2790938411599// Avg:35.6905143097118
34.313372935001// Avg:35.6869373191282
34.3476863079361// Avg:35.683467756923
34.382033994244// Avg:35.6801048789833
34.4164160282382// Avg:35.6768479489556
34,0722518679558// Avg:35,6727230232975 /// Deviation: 1 // on 21:19:27
34.1063241198238// Avg:35.6687066158527
34.1404304439436// Avg:35.6647979811419
34.1745708743876// Avg:35.6609963813798
34.208745445262// Avg:35.6573010863769
34.2429541907072// Avg:35.6537113734438
34.2771971448979// Avg:35.6502265272955
34.3114743420428// Avg:35.646845839959
34.3457858163849// Avg:35.6435686106805
34.3801316022012// Avg:35.6403941458351
34.4145117338034// Avg:35.6373217588375
34.4489262455372// Avg:35.6343507700543
34.4833751717828// Avg:35.6314805067169
34.5178585469546// Avg:35.6287103028369
34.5523764055015// Avg:35.6260394991215
34.586928781907// Avg:35.6234674428907
34.6215157106889// Avg:35.6209934879964
34.6561372263996// Avg:35.6186169947412
34.690793363626// Avg:35.6163373297999
34.7254841569896// Avg:35.6141538661411
34.7602096411466// Avg:35.6120659829504
34.7949698507878// Avg:35.6100730655549
34.8297648206386// Avg:35.6081745053483
34.8645945854592// Avg:35.6063696997175
34.8994591800447// Avg:35.6046580519701
34.9343586392247// Avg:35.6030389712629
34.9692929978639// Avg:35.6015118725319
35.0042622908618// Avg:35.6000761764221
35.0392665531527// Avg:35.59873130922
35.0743058197058// Avg:35.5974767027858
35.1093801255255// Avg:35.5963117944868
35.144489505651// Avg:35.5952360271324
35.1796339951567// Avg:35.5942488489092
35.2148136291518// Avg:35.5933497133174
35.250028442781// Avg:35.5925380791081
35.2852784712238// Avg:35.5918134102215
35.320563749695// Avg:35.5911751757262
35.3558843134447// Avg:35.5906228497584
35.3912401977581// Avg:35.5901559114633
35.4266314379559// Avg:35.5897738449364
35.4620580693939// Avg:35.5894761391659
35.4975201274633// Avg:35.5892622879759
35.5330176475907// Avg:35.5891317899704
35.5685506652383// Avg:35.589084148478
35.6041192159035// Avg:35.5891188714974
35.6397233351194// Avg:35.589235471644
35.6753630584546// Avg:35.5894334660964
35.711038421513// Avg:35.5897123765446
35.7467494599345// Avg:35.5900717291382
35.7824962093945// Avg:35.5905110544356
35.8182787056039// Avg:35.591029887354
35.8540969843095// Avg:35.5916277671198
35.8899510812938// Avg:35.59230423722
35.9258410323751// Avg:35.5930588453538
35.9617668734074// Avg:35.5938911433855
35.9977286402808// Avg:35.5948006872974
36.0337263689211// Avg:35.5957870371438
36.06976009529// Avg:35.5968497570051
36.1058298553853// Avg:35.5979884149433
36.1419356852407// Avg:35.5992025829574
36.178077620926// Avg:35.6004918369395
36.2142556985469// Avg:35.6018557566319
36.2504699542454// Avg:35.6032939255845
36.2867204241997// Avg:35.6048059311124
36.3230071446239// Avg:35.6063913642548
36.3593301517685// Avg:35.6080498197339
35,9957368502508// Avg:35,6089018791417 /// Deviation: 1 // on 21:23:26
36.0317325871011// Avg:35.6098291394662
36.0677643196882// Avg:35.6108311858124
36.1038320840079// Avg:35.6119076069875
36.1399359160919// Avg:35.6130579954605
36.176075852008// Avg:35.6142819473225
36.21225192786// Avg:35.6155790622478
36.2484641797878// Avg:35.6169489434546
36.2847126439676// Avg:35.6183911976673
36.3209973566116// Avg:35.6199054350789
36.3573183539682// Avg:35.621491269313
36.3936756723222// Avg:35.6231483173882
36.4300693479945// Avg:35.6248761996807
36.4664994173425// Avg:35.6266745398894
36.5029659167598// Avg:35.6285429649999
36.5394688826766// Avg:35.6304811052503
36,1740741938498// Avg:35,6316352307038 /// Deviation: 1 // on 21:24:01
36.2102482680437// Avg:35.6328611057829
36.2464585163117// Avg:35.634158351894
36.282704974828// Avg:35.6355265937145
36.3189876798028// Avg:35.6369654591589
36.3553066674827// Avg:35.6384745793445
36.3916619741501// Avg:35.6400535885579
36.4280536361243// Avg:35.6417021242223
36.4644816897604// Avg:35.6434198268643
36.5009461714502// Avg:35.6452063400822
36.5374471176216// Avg:35.6470613105137
36.5739845647392// Avg:35.6489843878046
36.610558549304// Avg:35.6509752245779
36.6471691078533// Avg:35.6530334764028
36.6838162769611// Avg:35.6551588017648
36.7205000932381// Avg:35.6573508620353
36.7572205933313// Avg:35.6596093214425
36.7939778139247// Avg:35.6619338470419
36.8307717917386// Avg:35.6643241086875
36.8676025635303// Avg:35.6667797790035
36.9044701660939// Avg:35.669300533356
36.94137463626// Avg:35.6718860498253
36.9783160108962// Avg:35.6745360091784
37.0152943269071// Avg:35.6772500948418
36,645141383638// Avg:35,6792054307788 /// Deviation: 1 // on 21:25:12
36.6817865250217// Avg:35.6812267636301
36.7184683115467// Avg:35.6833137687567
36.7551867798582// Avg:35.6854661242006
36.7919419666381// Avg:35.6876835106584
36.8287339086047// Avg:35.6899656114543
36.8655626425134// Avg:35.6923121125143
36.9024282051559// Avg:35.6947227023403
36.939330633361// Avg:35.6971970719845
36.9762699639944// Avg:35.6997349150242
37.0132462339584// Avg:35.7023359275369
37.0502594801923// Avg:35.7049998080758
37.0873097396725// Avg:35.707726257645
37.1243970494122// Avg:35.710514979676
37.1615214464616// Avg:35.7133656800037
37.1986829679081// Avg:35.7162780668427
37.235881650876// Avg:35.7192518507645
37.2731175325269// Avg:35.7222867446742
37.3103906500594// Avg:35.725382463788
37.3477010407094// Avg:35.7285387256108
37.3850487417502// Avg:35.731755249914
37.4224337904919// Avg:35.7350317587136
37.4598562242824// Avg:35.7383679762485
37.4973160805067// Avg:35.7417636289594
37.5348133965872// Avg:35.7452184454674
37.5723482099838// Avg:35.748732156553
37.6099205581938// Avg:35.7523044951358
37.6475304787519// Avg:35.7559351962538
37.6851780092307// Avg:35.7596239970435
37.7228631872399// Avg:35.7633706367194
37.7605860504272// Avg:35.767174856555
37.7983466364776// Avg:35.7710363998629
37.8361449831141// Avg:35.7749550119753
37.8739811280972// Avg:35.7789304402255
37.9118551092253// Avg:35.7829624339287
37.9497669643345// Avg:35.7870507443635
37.9877167312988// Avg:35.7911951247532
38.0257044480301// Avg:35.7953953302481
38.0637301524782// Avg:35.799651117907
38.1017938826307// Avg:35.8039622466799
38.1398956765133// Avg:35.8083284773899
38.1780355721898// Avg:35.812749572716
38.216213607762// Avg:35.8172252971761
38.2544298213697// Avg:35.8217554171095
38.2926842511911// Avg:35.8263397006607
38.3309769354423// Avg:35.8309779177621
38.3693079123777// Avg:35.8356698401182
38.4076772202901// Avg:35.8404152411886
38.4460848975104// Avg:35.8452138961726
38.4845309824079// Avg:35.8500655819929
38.5230155133903// Avg:35.8549700772799
38.5615385289037// Avg:35.8599271623561
38.6001000674326// Avg:35.8649366192209
38.6387001675001// Avg:35.8699982315353
38.6773388676676// Avg:35.8751117846066
38.7160162065352// Avg:35.8802770653737
38.7547322227418// Avg:35.8854938623925
38.7934869549645// Avg:35.8907619658211
38.8322804419195// Avg:35.8960811674054
38.8711127223614// Avg:35.9014512604649
38.9099838350838// Avg:35.9068720398786
38.9488938189188// Avg:35.9123433020711
38.9878427127378// Avg:35.9178648449987
39.0268305554505// Avg:35.9234364681357
39.0658573860059// Avg:35.9290579724611
39.1049232433919// Avg:35.9347291604449
39.1440281666353// Avg:35.9404498360352
39.183172194802// Avg:35.9462198046451
39.2223553669968// Avg:35.9520388731395
39.2615777223638// Avg:35.9579068498226
39.3008393000861// Avg:35.9638235444248
39.3401401393862// Avg:35.9697887680908
39.3794802795256// Avg:35.9758023333667
39.4188597598051// Avg:35.9818640541879
39.4582786195649// Avg:35.987973745867
39.4977368981845// Avg:35.9941312250815
39.5372346350827// Avg:36.0003363098626
39.5767718697178// Avg:36.0065888195827
39.6163486415875// Avg:36.0128885749439
39.6559649902291// Avg:36.0192353979671
39.6956209552193// Avg:36.0256291119797
39.7353165761745// Avg:36.032069541605
39.7750518927507// Avg:36.0385565127508
39.8148269446435// Avg:36.0450898525984
39.8546417715881// Avg:36.0516693895915
39.8944964133597// Avg:36.0582949534256
39.9343909097731// Avg:36.0649663750372
39,5350470006753// Avg:36,0709287128819 /// Deviation: 1 // on 21:29:44
39.574582047676// Avg:36.0769384098541
39.6141566297237// Avg:36.0829952903676
39.6537707863534// Avg:36.0890991801043
39.6934245571398// Avg:36.0952499060037
39.7331179816969// Avg:36.1014472962519
39.7728510996786// Avg:36.1076911802713
39.8126239507783// Avg:36.1139813887102
39.852436574729// Avg:36.1203177534323
39.8922890113038// Avg:36.1267001075065
39.9321813003151// Avg:36.1331282851971
39.9721134816154// Avg:36.1396021219533
40.012085595097// Avg:36.1461214543996
40.0520976806921// Avg:36.1526861203262
40.0921497783728// Avg:36.1592959586786
40.1322419281512// Avg:36.1659508095487
40.1723741700793// Avg:36.172650514165
40.2125465442494// Avg:36.179394914883
40.2527590907936// Avg:36.1861838551762
40.2930118498844// Avg:36.1930171796266
40.3333048617343// Avg:36.1998947339158
40.3736381665961// Avg:36.2068163648158
40.4140118047627// Avg:36.2137819201799
40.4544258165674// Avg:36.2207912489343
40.494880242384// Avg:36.2278442010687
40.5353751226264// Avg:36.2349406276281
40.575910497749// Avg:36.242080380704
40.6164864082467// Avg:36.2492633134257
40.657102894655// Avg:36.2564892799523
40.6977599975496// Avg:36.2637581354639
40.7384577575472// Avg:36.2710697361536
40.7791962153047// Avg:36.2784239392191
40.81997541152// Avg:36.2858206028548
40.8607953869316// Avg:36.2932595862435
40.9016561823185// Avg:36.3007407495488
40.9425578385008// Avg:36.3082639539069
40.9835003963393// Avg:36.315829061419
41.0244838967357// Avg:36.3234359351432
41.0655083806324// Avg:36.3310844390876
41.106573889013// Avg:36.3387744382018
41.147680462902// Avg:36.3465057983701
40,324726853644// Avg:36,3528913859388 /// Deviation: 2 // on 21:32:31
40.3650515804976// Avg:36.3593211298403
40.4054166320781// Avg:36.3657948826439
40.4458220487102// Avg:36.3723124979251
40.4862678707589// Avg:36.3788738302582
40.5267541386297// Avg:36.3854787352078
40.5672808927683// Avg:36.3921270693216
40.6078481736611// Avg:36.3988186901222
40.6484560218348// Avg:36.4055534560995
40.6891044778566// Avg:36.4123312267036
40.7297935823344// Avg:36.4191518623365
40.7705233759168// Avg:36.4260152243453
40.8112938992927// Avg:36.4329211750145
40.852105193192// Avg:36.4398695775588
40.8929572983852// Avg:36.4468602961158
40.9338502556836// Avg:36.4538931957389
40.9747841059393// Avg:36.4609681423903
41.0157588900452// Avg:36.4680850029335
41.0567746489352// Avg:36.4752436451269
41.0978314235842// Avg:36.4824439376167
41.1389292550078// Avg:36.48968574993
41.1800681842628// Avg:36.4969689524677
39,9446661387349// Avg:36,5023142194232 /// Deviation: 3 // on 21:34:02
39.9846108048736// Avg:36.507704771413
40.0245954156785// Avg:36.5131404601986
40.0646200110942// Avg:36.5186211385179
40.1046846311053// Avg:36.5241466600781
40.1447893157364// Avg:36.5297168795484
40.1849341050521// Avg:36.5353316525522
38,9793860819005// Avg:36,5390802022905 /// Deviation: 3 // on 21:34:30
39.0183654679824// Avg:36.5428769638
39.0573838334504// Avg:36.5467217755272
39.0964412172839// Avg:36.550614476965
39.1355376585012// Avg:36.5545549086442
39.1746731961597// Avg:36.558542912126
39.2138478693558// Avg:36.5625783299941
39.2530617172252// Avg:36.5666610058473
39.2923147789424// Avg:36.5707907842913
39.3316070937213// Avg:36.5749675109319
39.3709387008151// Avg:36.5791910323668
39.4103096395159// Avg:36.5834611961785
39.4497199491554// Avg:36.587777850927
39.4891696691045// Avg:36.5921408461423
39.5286588387736// Avg:36.5965500323174
39.5681874976124// Avg:36.601005260901
39,1725056226363// Avg:36,6048548123408 /// Deviation: 1 // on 21:35:36
39.2116781282589// Avg:36.6087514092255
39.2508898063872// Avg:36.6126948993706
39.2901406961936// Avg:36.6166851315566
39.3294308368898// Avg:36.6207219555229
39.3687602677267// Avg:36.62480522196
39.4081290279944// Avg:36.6289347825031
39.4475371570224// Avg:36.6331104897246
39.4869846941794// Avg:36.6373321971276
39.5264716788736// Avg:36.6415997591391
39.5659981505525// Avg:36.6459130311028
39.605564148703// Avg:36.6502718692731
39.6451697128517// Avg:36.6546761308077
39.6848148825646// Avg:36.6591256737619
39.7244996974471// Avg:36.663620357081
